table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,tts_stop_name,en,Saint-Louis & Vieux-Chemin (Courtesy Stop),934084,,
stops,tts_stop_name,en,Paiement & du Lac à la Perdrix (Courtesy Stop),943019,,
stops,tts_stop_name,en,Paiement & du Lac à la Perdrix (Courtesy Stop),943020,,
stops,tts_stop_name,en,Paiement & Stewart (Courtesy Stop),943053,,
stops,tts_stop_name,en,Paiement & Stewart (Courtesy Stop),943054,,
stops,tts_stop_name,en,Paiement & Prud'homme (Courtesy Stop),943063,,
stops,tts_stop_name,en,Paiement & Prud'homme (Courtesy Stop),943064,,
stops,tts_stop_name,en,Paiement & des Chutes (Courtesy Stop),943075,,
stops,tts_stop_name,en,Paiement & des Chutes (Courtesy Stop),943076,,
stops,tts_stop_name,en,Fogarty & Sucrerie du Terroir (Courtesy Stop),943127,,
stops,tts_stop_name,en,Fogarty & Sucrerie du Terroir (Courtesy Stop),943128,,
stops,tts_stop_name,en,Fogarty & de Chatillon (Courtesy Stop),943157,,
stops,tts_stop_name,en,Fogarty & de Chatillon (Courtesy Stop),943158,,
stops,tts_stop_name,en,Fogarty & Napoléon-Marenger (Courtesy Stop),943169,,
stops,tts_stop_name,en,Fogarty & Napoléon-Marenger (Courtesy Stop),943170,,
